상품명,가격,평점,리뷰,작성일,링크
Hi Sam Poppy 크림 아이스크림 빵 핸드 롤 빵 버터 크루아상 요구르트 빵 식사 대체 페이스트리 신선한,"39,500원",,,,https://www.coupang.com/vp/products/1940956605?itemId=3295180960&vendorItemId=71282127717&q=%ED%81%AC%EB%A6%BC%EB%B9%B5&itemsCount=36&searchId=d301e3b9f51e4f13885413e15e129205&rank=0
빵과물고기 여성 레트로 꽈배기 니트 스웨터,"37,100원",,,,https://www.coupang.com/vp/products/1073708567?itemId=2023001958&vendorItemId=70022653220&q=%ED%81%AC%EB%A6%BC%EB%B9%B5&itemsCount=36&searchId=d301e3b9f51e4f13885413e15e129205&rank=1
빵과물고기 여성 가을 코트 스타일 니트 가디건,"33,500원",,,,https://www.coupang.com/vp/products/1889231587?itemId=3210131781&vendorItemId=71197467989&q=%ED%81%AC%EB%A6%BC%EB%B9%B5&itemsCount=36&searchId=d301e3b9f51e4f13885413e15e129205&rank=2
빵과물고기 여성 레트로 프렌치 시어서커 블라우스,"27,100원",,,,https://www.coupang.com/vp/products/1761832662?itemId=3000710319&vendorItemId=70988960602&q=%ED%81%AC%EB%A6%BC%EB%B9%B5&itemsCount=36&searchId=d301e3b9f51e4f13885413e15e129205&rank=3
빵과물고기 여성 가을 겨울 로맨틱 라운드넥 니트 스웨터,"34,300원",,,,https://www.coupang.com/vp/products/323129306?itemId=1034890255&vendorItemId=5486680729&q=%ED%81%AC%EB%A6%BC%EB%B9%B5&itemsCount=36&searchId=d301e3b9f51e4f13885413e15e129205&rank=4
위파인더 망홍진피빵슬리퍼 여외부 패션 플랫 앤티크 크로스 외출슬리퍼 심플일자노지,"65,100원",,,,https://www.coupang.com/vp/products/1890701633?itemId=3212553816&vendorItemId=71199873513&q=%ED%81%AC%EB%A6%BC%EB%B9%B5&itemsCount=36&searchId=d301e3b9f51e4f13885413e15e129205&rank=5
러브홀릭 새틴 스커트 비밀상자 코코아 추천 이생에 엘레강스 시보리 빵 LH-000094045,"110,000원",,,,https://www.coupang.com/vp/products/1289149637?itemId=2299726425&vendorItemId=70296664958&q=%ED%81%AC%EB%A6%BC%EB%B9%B5&itemsCount=36&searchId=d301e3b9f51e4f13885413e15e129205&rank=6
귀여운 핑크 코튼 패딩 여성의 겨울 느슨한 허리 두꺼운 짧은 빵 칼라 자켓[자켓0003],"109,700원",,,,https://www.coupang.com/vp/products/299040661?itemId=941790838&vendorItemId=5328501720&q=%ED%81%AC%EB%A6%BC%EB%B9%B5&itemsCount=36&searchId=d301e3b9f51e4f13885413e15e129205&rank=7
2020 겨울 새로운 다운 재킷 여성 한국어 느슨한 BF 학생 홍콩 스타일 코튼 빵 재킷,"68,000원",,,,https://www.coupang.com/vp/products/1896277146?itemId=3221419044&vendorItemId=71208682463&q=%ED%81%AC%EB%A6%BC%EB%B9%B5&itemsCount=36&searchId=d301e3b9f51e4f13885413e15e129205&rank=8
코듀로이 골덴 숏 패딩 꼬마난로 코듀로이빵코튼 여숏한한장기겨울패딩코트ins항풍,"62,800원",,,,https://www.coupang.com/vp/products/1082539817?itemId=2035599812&vendorItemId=70035025754&q=%ED%81%AC%EB%A6%BC%EB%B9%B5&itemsCount=36&searchId=d301e3b9f51e4f13885413e15e129205&rank=9
